frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
144,4807.1,15,13,884,,,,,,,13,932,559,,,,,,,15,998,633,,,,,,,15,765,868,,,,,,
145,4842.8,15,13,884,,,,,,,12,932,557,,,,,,,15,997,631,,,,,,,14,765,868,,,,,,
146,4874.7,15,13,884,,,,,,,12,931,555,,,,,,,15,997,628,,,,,,,14,765,868,,,,,,
147,4907.1,15,13,884,,,,,,,12,930,553,,,,,,,15,996,626,,,,,,,15,765,868,,,,,,
148,4943.0,15,13,884,,,,,,,13,929,551,,,,,,,15,995,623,,,,,,,14,765,868,,,,,,
149,4974.7,15,12,884,,,,,,,12,929,549,,,,,,,15,994,621,,,,,,,15,765,868,,,,,,
150,5007.1,15,13,884,,,,,,,12,928,547,,,,,,,15,994,618,,,,,,,14,765,868,,,,,,
151,5042.8,15,13,884,,,,,,,12,927,545,,,,,,,15,993,616,,,,,,,14,765,868,,,,,,
152,5074.7,15,13,883,,,,,,,12,926,543,,,,,,,15,993,613,,,,,,,14,765,868,,,,,,
153,5107.4,15,12,884,,,,,,,12,925,541,,,,,,,15,991,612,,,,,,,14,765,868,,,,,,
154,5142.7,15,13,884,,,,,,,12,925,539,,,,,,,15,991,610,,,,,,,15,765,868,,,,,,
155,5174.9,15,13,884,,,,,,,12,925,537,,,,,,,15,991,607,,,,,,,15,765,868,,,,,,
156,5207.5,15,13,884,,,,,,,12,924,535,,,,,,,14,990,605,,,,,,,14,765,868,,,,,,
157,5242.9,15,13,884,,,,,,,12,923,534,,,,,,,15,989,602,,,,,,,14,765,868,,,,,,
158,5275.2,15,13,884,,,,,,,12,922,532,,,,,,,14,989,601,,,,,,,15,765,868,,,,,,
159,5307.5,15,13,884,,,,,,,12,922,530,,,,,,,15,988,599,,,,,,,14,765,868,,,,,,
160,5342.8,15,13,884,,,,,,,12,921,528,,,,,,,15,987,596,,,,,,,14,765,868,,,,,,
161,5375.5,15,13,884,,,,,,,12,920,525,,,,,,,15,986,593,,,,,,,15,765,868,,,,,,
162,5407.1,15,12,884,,,,,,,12,919,524,,,,,,,15,985,592,,,,,,,15,765,868,,,,,,
163,5442.8,15,13,883,,,,,,,12,918,522,,,,,,,15,985,589,,,,,,,14,765,868,,,,,,
164,5474.8,15,13,883,,,,,,,12,917,519,,,,,,,14,984,587,,,,,,,14,765,868,,,,,,
165,5507.3,15,12,884,,,,,,,12,916,518,,,,,,,14,983,584,,,,,,,14,765,868,,,,,,
166,5542.7,15,13,884,,,,,,,12,915,515,,,,,,,15,982,582,,,,,,,14,765,868,,,,,,
167,5575.0,15,13,884,,,,,,,12,915,514,,,,,,,14,982,580,,,,,,,14,765,868,,,,,,
168,5607.4,15,13,884,,,,,,,12,914,512,,,,,,,15,981,577,,,,,,,15,765,868,,,,,,
169,5643.5,15,13,884,,,,,,,12,913,510,,,,,,,15,980,575,,,,,,,14,765,868,,,,,,
170,5674.8,15,13,884,,,,,,,12,912,508,,,,,,,15,979,574,,,,,,,14,765,868,,,,,,
171,5707.0,15,14,885,,,,,,,12,912,507,,,,,,,15,979,572,,,,,,,14,765,868,,,,,,
172,5742.7,15,13,884,,,,,,,12,912,505,,,,,,,14,978,570,,,,,,,14,765,868,,,,,,
173,5774.7,15,13,884,,,,,,,12,911,504,,,,,,,14,978,569,,,,,,,15,765,868,,,,,,
174,5807.0,15,12,884,,,,,,,12,910,503,,,,,,,14,977,568,,,,,,,14,765,868,,,,,,
175,5842.8,15,13,884,,,,,,,12,910,502,,,,,,,14,977,566,,,,,,,14,765,868,,,,,,
176,5874.7,15,14,885,,,,,,,12,910,501,,,,,,,14,977,565,,,,,,,14,765,868,,,,,,
177,5907.3,15,12,884,,,,,,,12,909,501,,,,,,,14,976,565,,,,,,,15,765,868,,,,,,
178,5942.6,15,13,884,,,,,,,12,909,500,,,,,,,14,976,564,,,,,,,14,765,868,,,,,,
179,5975.2,15,13,884,,,,,,,12,908,499,,,,,,,14,976,562,,,,,,,14,765,868,,,,,,
180,6009.1,15,13,883,,,,,,,12,908,497,,,,,,,15,975,561,,,,,,,14,765,868,,,,,,
181,6042.8,15,13,884,,,,,,,12,907,496,,,,,,,15,975,559,,,,,,,14,765,868,,,,,,
182,6074.7,15,12,884,,,,,,,12,907,495,,,,,,,14,973,558,,,,,,,15,765,868,,,,,,
183,6107.3,15,13,884,,,,,,,12,906,493,,,,,,,14,973,556,,,,,,,14,765,868,,,,,,
184,6142.9,15,13,884,,,,,,,12,905,492,,,,,,,14,973,553,,,,,,,14,765,868,,,,,,
185,6174.8,15,13,884,,,,,,,12,905,490,,,,,,,14,972,552,,,,,,,15,765,868,,,,,,
186,6207.8,15,13,884,,,,,,,12,904,489,,,,,,,14,971,550,,,,,,,14,765,868,,,,,,
187,6242.7,15,13,884,,,,,,,12,903,487,,,,,,,14,971,548,,,,,,,14,765,868,,,,,,
188,6274.8,15,13,883,,,,,,,12,903,486,,,,,,,14,970,547,,,,,,,14,765,868,,,,,,
189,6307.2,15,12,884,,,,,,,12,902,484,,,,,,,14,970,546,,,,,,,14,765,868,,,,,,
190,6343.3,15,13,884,,,,,,,12,901,483,,,,,,,15,969,544,,,,,,,14,765,868,,,,,,
